ENSG00000003056	ENST00000000412	ENSMUSP00000007602
ENSG00000221813	ENST00000408922	ENSMUSP00000059233
ENSG00000221977	ENST00000408935	ENSMUSP00000046688
ENSG00000221858	ENST00000408949	ENSMUSP00000099005
ENSG00000221989	ENST00000408979	ENSMUSP00000058147
ENSG00000091409	ENST00000409080	ENSMUSP00000028522
ENSG00000222040	ENST00000409345	ENSMUSP00000071798
ENSG00000121966	ENST00000409817	ENSMUSP00000053489
ENSG00000115594	ENST00000410023	ENSMUSP00000027241
ENSG00000115604	ENST00000410040	ENSMUSP00000085298
ENSG00000227639	ENST00000411447	
ENSG00000228987	ENST00000411505	
ENSG00000234794	ENST00000411524	
ENSG00000229680	ENST00000411574	
ENSG00000006638	ENST00000411851	ENSMUSP00000100962
ENSG00000020181	ENST00000412232	ENSMUSP00000129003
ENSG00000229058	ENST00000412470	
ENSG00000234745	ENST00000412585	
ENSG00000225211	ENST00000412603	
ENSG00000099957	ENST00000413302	ENSMUSP00000023441
ENSG00000232178	ENST00000414140	
ENSG00000154269	ENST00000414305	ENSMUSP00000020169
ENSG00000233481	ENST00000414415	
ENSG00000113327	ENST00000414552	ENSMUSP00000063812
ENSG00000230726	ENST00000414698	
ENSG00000224103	ENST00000415247	
ENSG00000229252	ENST00000415289	
ENSG00000224395	ENST00000415581	
ENSG00000233904	ENST00000415649	
ENSG00000237216	ENST00000415687	
ENSG00000233141	ENST00000415802	
ENSG00000226000	ENST00000415857	
ENSG00000226832	ENST00000415976	
ENSG00000233209	ENST00000416192	
ENSG00000198223	ENST00000417535	
ENSG00000224320	ENST00000417978	
ENSG00000112218	ENST00000417980	ENSMUSP00000039312
ENSG00000234954	ENST00000418003	
ENSG00000168959	ENST00000418177	ENSMUSP00000129181
ENSG00000225781	ENST00000418316	
ENSG00000233618	ENST00000418630	
ENSG00000111199	ENST00000418703	ENSMUSP00000071859
ENSG00000237808	ENST00000418936	
ENSG00000229866	ENST00000419260	
ENSG00000231389	ENST00000419277	
ENSG00000228080	ENST00000419393	
ENSG00000229493	ENST00000419519	
ENSG00000232945	ENST00000419605	
ENSG00000231319	ENST00000419873	
ENSG00000228377	ENST00000420035	
ENSG00000233054	ENST00000420178	
ENSG00000228299	ENST00000420206	
ENSG00000228977	ENST00000420540	
ENSG00000226463	ENST00000421027	
ENSG00000234078	ENST00000421229	
ENSG00000164418	ENST00000421544	ENSMUSP00000101127
ENSG00000237258	ENST00000421634	
ENSG00000234101	ENST00000421766	
ENSG00000232984	ENST00000421808	
ENSG00000139626	ENST00000422257	ENSMUSP00000001327
ENSG00000228163	ENST00000422504	
ENSG00000232632	ENST00000423604	
ENSG00000196184	ENST00000423932	ENSMUSP00000052418
ENSG00000231268	ENST00000424145	
ENSG00000237112	ENST00000425097	
ENSG00000073008	ENST00000425690	ENSMUSP00000039205
ENSG00000223532	ENST00000425848	
ENSG00000077782	ENST00000425967	ENSMUSP00000081041
ENSG00000231558	ENST00000426070	
ENSG00000235249	ENST00000426406	
ENSG00000243612	ENST00000426644	
ENSG00000232957	ENST00000426685	
ENSG00000230060	ENST00000426729	
ENSG00000230463	ENST00000426847	
ENSG00000230456	ENST00000427053	
ENSG00000230780	ENST00000427264	
ENSG00000231861	ENST00000427338	
ENSG00000234746	ENST00000427744	
ENSG00000230254	ENST00000427936	
ENSG00000226271	ENST00000428081	
ENSG00000235220	ENST00000428296	
ENSG00000231003	ENST00000428302	
ENSG00000204632	ENST00000428701	
ENSG00000026508	ENST00000428726	ENSMUSP00000005218
ENSG00000170929	ENST00000429566	ENSMUSP00000064189
ENSG00000235680	ENST00000429890	
ENSG00000096996	ENST00000430026	ENSMUSP00000000808
ENSG00000224487	ENST00000430148	
ENSG00000233636	ENST00000430478	
ENSG00000180720	ENST00000433765	ENSMUSP00000130000
ENSG00000228813	ENST00000433801	
ENSG00000232962	ENST00000434335	
ENSG00000225291	ENST00000434778	
ENSG00000112038	ENST00000434900	ENSMUSP00000077704
ENSG00000233095	ENST00000434907	
ENSG00000189143	ENST00000435050	ENSMUSP00000053420
ENSG00000147145	ENST00000435339	ENSMUSP00000053986
ENSG00000135218	ENST00000435819	ENSMUSP00000126300
ENSG00000237103	ENST00000436623	
ENSG00000174130	ENST00000436693	ENSMUSP00000062096
ENSG00000227191	ENST00000436911	
ENSG00000236032	ENST00000437310	
ENSG00000224234	ENST00000437403	
ENSG00000229074	ENST00000437784	
ENSG00000237022	ENST00000438171	
ENSG00000196639	ENST00000438284	ENSMUSP00000086383
ENSG00000235966	ENST00000438569	
ENSG00000172215	ENST00000438735	ENSMUSP00000060776
ENSG00000241106	ENST00000438763	ENSMUSP00000092985
ENSG00000230141	ENST00000438987	
ENSG00000180739	ENST00000439028	ENSMUSP00000113843
ENSG00000228652	ENST00000439723	
ENSG00000229185	ENST00000439874	
ENSG00000225550	ENST00000440124	
ENSG00000232289	ENST00000440485	
ENSG00000229125	ENST00000440557	
ENSG00000235132	ENST00000440672	
ENSG00000171517	ENST00000440886	ENSMUSP00000037712
ENSG00000234729	ENST00000441180	
ENSG00000236979	ENST00000441372	
ENSG00000233046	ENST00000441440	
ENSG00000172935	ENST00000441623	ENSMUSP00000033386
ENSG00000237405	ENST00000441804	
ENSG00000228254	ENST00000442043	
ENSG00000170915	ENST00000442253	ENSMUSP00000069127
ENSG00000081237	ENST00000442510	ENSMUSP00000074352
ENSG00000187323	ENST00000442544	ENSMUSP00000110593
ENSG00000144648	ENST00000442925	ENSMUSP00000050119
ENSG00000226260	ENST00000442960	
ENSG00000235844	ENST00000443117	
ENSG00000204276	ENST00000443184	
ENSG00000196083	ENST00000443369	ENSMUSP00000093843
ENSG00000243441	ENST00000444009	
ENSG00000206474	ENST00000444197	ENSMUSP00000058929
ENSG00000229215	ENST00000444289	
ENSG00000232062	ENST00000444296	
ENSG00000237459	ENST00000444404	
ENSG00000236884	ENST00000444645	
ENSG00000233180	ENST00000444830	
ENSG00000237508	ENST00000445657	
ENSG00000181072	ENST00000445907	ENSMUSP00000130874
ENSG00000152034	ENST00000445970	
ENSG00000229408	ENST00000446161	
ENSG00000237388	ENST00000446524	ENSMUSP00000107145
ENSG00000091181	ENST00000446632	ENSMUSP00000005497
ENSG00000229328	ENST00000446776	
ENSG00000241386	ENST00000447178	
ENSG00000164509	ENST00000447346	ENSMUSP00000058045
ENSG00000223793	ENST00000447735	
ENSG00000187037	ENST00000447769	ENSMUSP00000066921
ENSG00000230514	ENST00000448768	
ENSG00000228515	ENST00000449044	
ENSG00000233192	ENST00000449560	
ENSG00000160801	ENST00000449590	ENSMUSP00000132064
ENSG00000232268	ENST00000450052	ENSMUSP00000095822
ENSG00000187764	ENST00000450295	ENSMUSP00000021900
ENSG00000233687	ENST00000450817	
ENSG00000237284	ENST00000451019	
ENSG00000224393	ENST00000451549	
ENSG00000223833	ENST00000452296	
ENSG00000232569	ENST00000452300	
ENSG00000069122	ENST00000452370	ENSMUSP00000109229
ENSG00000235744	ENST00000452598	
ENSG00000230413	ENST00000452715	
ENSG00000182168	ENST00000453304	ENSMUSP00000101843
ENSG00000175344	ENST00000454250	ENSMUSP00000032738
ENSG00000243496	ENST00000454286	
ENSG00000229685	ENST00000454805	
ENSG00000146276	ENST00000454853	ENSMUSP00000029947
ENSG00000241910	ENST00000454969	
ENSG00000126251	ENST00000454971	ENSMUSP00000092163
ENSG00000230505	ENST00000455234	
ENSG00000188393	ENST00000455827	
ENSG00000145888	ENST00000455880	ENSMUSP00000099777
ENSG00000225736	ENST00000456140	
ENSG00000239457	ENST00000456406	
ENSG00000230178	ENST00000456475	
ENSG00000228198	ENST00000456743	
ENSG00000235346	ENST00000457132	
ENSG00000232397	ENST00000457403	
ENSG00000066468	ENST00000457416	ENSMUSP00000112430
ENSG00000236315	ENST00000457547	
ENSG00000169760	ENST00000457714	ENSMUSP00000074565
ENSG00000226347	ENST00000457762	
ENSG00000185825	ENST00000458587	ENSMUSP00000002091
ENSG00000151577	ENST00000460779	ENSMUSP00000023390
ENSG00000175697	ENST00000464295	ENSMUSP00000055958
ENSG00000101850	ENST00000467482	ENSMUSP00000026383
ENSG00000106113	ENST00000471646	ENSMUSP00000003568
ENSG00000144724	ENST00000474889	ENSMUSP00000022264
ENSG00000179921	ENST00000479077	ENSMUSP00000077135
ENSG00000112195	ENST00000483722	ENSMUSP00000092878
ENSG00000185008	ENST00000487694	ENSMUSP00000112776
ENSG00000243896	ENST00000493325	ENSMUSP00000053813
ENSG00000147155	ENST00000495186	ENSMUSP00000033509
ENSG00000036828	ENST00000498619	ENSMUSP00000069080
ENSG00000163956	ENST00000500728	ENSMUSP00000030986
ENSG00000164604	ENST00000501255	ENSMUSP00000053837
ENSG00000242022	ENST00000505384	
ENSG00000151834	ENST00000510861	ENSMUSP00000000572
ENSG00000069018	ENST00000513104	ENSMUSP00000022023
ENSG00000150471	ENST00000514591	ENSMUSP00000112388
ENSG00000138696	ENST00000515059	ENSMUSP00000029948
ENSG00000236177	ENST00000515317	
ENSG00000173402	ENST00000515359	ENSMUSP00000128531
ENSG00000094755	ENST00000518525	ENSMUSP00000020366
ENSG00000174417	ENST00000518632	ENSMUSP00000036320
ENSG00000164930	ENST00000522566	ENSMUSP00000022906
ENSG00000149403	ENST00000527524	ENSMUSP00000110515
ENSG00000156097	ENST00000527748	ENSMUSP00000055557
ENSG00000185803	ENST00000530047	ENSMUSP00000023220
ENSG00000255307	ENST00000530810	ENSMUSP00000061078
ENSG00000174804	ENST00000531380	ENSMUSP00000049852
ENSG00000119714	ENST00000531499	ENSMUSP00000105693
ENSG00000196248	ENST00000531945	ENSMUSP00000052705
ENSG00000160654	ENST00000532917	ENSMUSP00000002101
ENSG00000213906	ENST00000533293	ENSMUSP00000048358
ENSG00000256797	ENST00000535540	
ENSG00000137872	ENST00000536845	ENSMUSP00000099529
ENSG00000104290	ENST00000537916	ENSMUSP00000115325
ENSG00000198753	ENST00000538966	ENSMUSP00000002079
ENSG00000171631	ENST00000540342	ENSMUSP00000055697
ENSG00000255804	ENST00000540461	
ENSG00000183150	ENST00000540510	ENSMUSP00000107563
ENSG00000187554	ENST00000540964	ENSMUSP00000106625
ENSG00000165409	ENST00000541158	ENSMUSP00000021346
ENSG00000135503	ENST00000541224	ENSMUSP00000000544
ENSG00000128271	ENST00000541988	ENSMUSP00000101060
ENSG00000257019	ENST00000542196	
ENSG00000105281	ENST00000542575	ENSMUSP00000104136
ENSG00000078589	ENST00000544091	ENSMUSP00000061296
ENSG00000144230	ENST00000544369	ENSMUSP00000063670
ENSG00000169896	ENST00000544665	ENSMUSP00000095625
ENSG00000183625	ENST00000545097	ENSMUSP00000039107
ENSG00000101292	ENST00000546004	ENSMUSP00000056659
ENSG00000089041	ENST00000546057	ENSMUSP00000098303
ENSG00000258227	ENST00000546910	ENSMUSP00000121848
ENSG00000258083	ENST00000548136	ENSMUSP00000054887
ENSG00000257115	ENST00000550708	
ENSG00000257793	ENST00000552724	
ENSG00000257473	ENST00000552745	
ENSG00000256574	ENST00000553795	ENSMUSP00000066524
ENSG00000168398	ENST00000554311	ENSMUSP00000001652
ENSG00000021645	ENST00000554719	
ENSG00000258839	ENST00000555147	ENSMUSP00000095929
