ENSG00000003056	ENST00000000412	ENSVPAP00000003675
ENSG00000189143	ENST00000435050	
ENSG00000147145	ENST00000435339	ENSVPAP00000000554
ENSG00000135218	ENST00000435819	ENSVPAP00000001650
ENSG00000237103	ENST00000436623	
ENSG00000174130	ENST00000436693	
ENSG00000227191	ENST00000436911	
ENSG00000236032	ENST00000437310	
ENSG00000224234	ENST00000437403	
ENSG00000229074	ENST00000437784	
ENSG00000237022	ENST00000438171	
ENSG00000196639	ENST00000438284	
ENSG00000235966	ENST00000438569	
ENSG00000172215	ENST00000438735	
ENSG00000241106	ENST00000438763	ENSVPAP00000011612
ENSG00000230141	ENST00000438987	
ENSG00000180739	ENST00000439028	
ENSG00000228652	ENST00000439723	
ENSG00000229185	ENST00000439874	
ENSG00000225550	ENST00000440124	
ENSG00000232289	ENST00000440485	
ENSG00000229125	ENST00000440557	
ENSG00000235132	ENST00000440672	
ENSG00000171517	ENST00000440886	ENSVPAP00000011292
ENSG00000234729	ENST00000441180	
ENSG00000236979	ENST00000441372	
ENSG00000233046	ENST00000441440	
ENSG00000172935	ENST00000441623	
ENSG00000237405	ENST00000441804	
ENSG00000228254	ENST00000442043	
ENSG00000170915	ENST00000442253	
ENSG00000081237	ENST00000442510	ENSVPAP00000003667
ENSG00000187323	ENST00000442544	
ENSG00000144648	ENST00000442925	
ENSG00000226260	ENST00000442960	
ENSG00000235844	ENST00000443117	
ENSG00000204276	ENST00000443184	
ENSG00000196083	ENST00000443369	ENSVPAP00000011487
ENSG00000243441	ENST00000444009	
ENSG00000206474	ENST00000444197	
ENSG00000229215	ENST00000444289	
ENSG00000232062	ENST00000444296	
ENSG00000237459	ENST00000444404	
ENSG00000236884	ENST00000444645	
ENSG00000233180	ENST00000444830	
ENSG00000237508	ENST00000445657	
ENSG00000181072	ENST00000445907	ENSVPAP00000008809
ENSG00000152034	ENST00000445970	ENSVPAP00000001298
ENSG00000229408	ENST00000446161	
ENSG00000091181	ENST00000446632	ENSVPAP00000007534
ENSG00000229328	ENST00000446776	
ENSG00000241386	ENST00000447178	
ENSG00000164509	ENST00000447346	ENSVPAP00000008827
ENSG00000223793	ENST00000447735	
ENSG00000187037	ENST00000447769	ENSVPAP00000006118
ENSG00000230514	ENST00000448768	
ENSG00000228515	ENST00000449044	
ENSG00000233192	ENST00000449560	
ENSG00000160801	ENST00000449590	
ENSG00000232268	ENST00000450052	
ENSG00000187764	ENST00000450295	
ENSG00000233687	ENST00000450817	
ENSG00000237284	ENST00000451019	
ENSG00000224393	ENST00000451549	
ENSG00000223833	ENST00000452296	
ENSG00000232569	ENST00000452300	
ENSG00000069122	ENST00000452370	ENSVPAP00000003365
ENSG00000235744	ENST00000452598	
ENSG00000230413	ENST00000452715	
ENSG00000182168	ENST00000453304	ENSVPAP00000007272
ENSG00000175344	ENST00000454250	ENSVPAP00000003922
ENSG00000243496	ENST00000454286	
ENSG00000229685	ENST00000454805	
ENSG00000146276	ENST00000454853	ENSVPAP00000003881
ENSG00000241910	ENST00000454969	
ENSG00000126251	ENST00000454971	
ENSG00000230505	ENST00000455234	
ENSG00000188393	ENST00000455827	ENSVPAP00000003460
ENSG00000145888	ENST00000455880	ENSVPAP00000004142
ENSG00000225736	ENST00000456140	
ENSG00000239457	ENST00000456406	
ENSG00000237521	ENST00000456448	
ENSG00000228198	ENST00000456743	
ENSG00000235346	ENST00000457132	
ENSG00000232397	ENST00000457403	
ENSG00000066468	ENST00000457416	ENSVPAP00000006061
ENSG00000236315	ENST00000457547	
ENSG00000169760	ENST00000457714	ENSVPAP00000005480
ENSG00000226347	ENST00000457762	
ENSG00000185825	ENST00000458587	
ENSG00000151577	ENST00000460779	ENSVPAP00000011135
ENSG00000175697	ENST00000464295	ENSVPAP00000003500
ENSG00000101850	ENST00000467482	
ENSG00000106113	ENST00000471646	ENSVPAP00000007674
ENSG00000144724	ENST00000474889	ENSVPAP00000004472
ENSG00000179921	ENST00000479077	
ENSG00000112195	ENST00000483722	ENSVPAP00000007365
ENSG00000185008	ENST00000487694	ENSVPAP00000010120
ENSG00000243896	ENST00000493325	
ENSG00000147155	ENST00000495186	ENSVPAP00000009314
ENSG00000144891	ENST00000497524	
ENSG00000036828	ENST00000498619	ENSVPAP00000001982
ENSG00000163956	ENST00000500728	
ENSG00000164604	ENST00000501255	ENSVPAP00000011606
ENSG00000242022	ENST00000505384	
ENSG00000151834	ENST00000510861	ENSVPAP00000002341
ENSG00000069018	ENST00000513104	ENSVPAP00000006815
ENSG00000150471	ENST00000514591	ENSVPAP00000011415
ENSG00000138696	ENST00000515059	ENSVPAP00000007271
ENSG00000236177	ENST00000515317	
ENSG00000173402	ENST00000515359	
ENSG00000094755	ENST00000518525	ENSVPAP00000002256
ENSG00000174417	ENST00000518632	ENSVPAP00000001593
ENSG00000164930	ENST00000522566	ENSVPAP00000006240
ENSG00000255012	ENST00000526538	
ENSG00000254834	ENST00000526812	
ENSG00000149403	ENST00000527524	
ENSG00000156097	ENST00000527748	
ENSG00000255223	ENST00000528616	
ENSG00000185803	ENST00000530047	
ENSG00000254466	ENST00000530162	ENSVPAP00000006806
ENSG00000255307	ENST00000530810	
ENSG00000174804	ENST00000531380	ENSVPAP00000010092
ENSG00000119714	ENST00000531499	
ENSG00000196248	ENST00000531945	ENSVPAP00000004493
ENSG00000160654	ENST00000532917	ENSVPAP00000005183
ENSG00000213906	ENST00000533293	
ENSG00000226761	ENST00000533467	
ENSG00000256797	ENST00000535540	
ENSG00000137872	ENST00000536845	ENSVPAP00000004377
ENSG00000238243	ENST00000537741	
ENSG00000104290	ENST00000537916	ENSVPAP00000000273
ENSG00000183269	ENST00000537935	ENSVPAP00000002577
ENSG00000198753	ENST00000538966	
ENSG00000171631	ENST00000540342	
ENSG00000255804	ENST00000540461	
ENSG00000183150	ENST00000540510	
ENSG00000187554	ENST00000540964	
ENSG00000165409	ENST00000541158	ENSVPAP00000000543
ENSG00000135503	ENST00000541224	ENSVPAP00000007172
ENSG00000128271	ENST00000541988	
ENSG00000257019	ENST00000542196	
ENSG00000255582	ENST00000542433	
ENSG00000105281	ENST00000542575	
ENSG00000078589	ENST00000544091	ENSVPAP00000002617
ENSG00000144230	ENST00000544369	
ENSG00000169896	ENST00000544665	
ENSG00000183625	ENST00000545097	
ENSG00000255713	ENST00000545221	ENSVPAP00000005318
ENSG00000101292	ENST00000546004	
ENSG00000089041	ENST00000546057	
ENSG00000258227	ENST00000546910	ENSVPAP00000003419
ENSG00000258083	ENST00000548136	
ENSG00000257115	ENST00000550708	
ENSG00000257793	ENST00000552724	
ENSG00000257473	ENST00000552745	
ENSG00000256574	ENST00000553795	
ENSG00000168398	ENST00000554311	
ENSG00000021645	ENST00000554719	
ENSG00000137070	ENST00000555003	
ENSG00000258817	ENST00000555099	
ENSG00000258839	ENST00000555147	
