ENSG00000003056	ENST00000000412	ENSLAFP00000008884
ENSG00000228377	ENST00000420035	
ENSG00000233054	ENST00000420178	
ENSG00000228299	ENST00000420206	
ENSG00000228977	ENST00000420540	
ENSG00000226463	ENST00000421027	
ENSG00000234078	ENST00000421229	
ENSG00000164418	ENST00000421544	ENSLAFP00000013517
ENSG00000237258	ENST00000421634	
ENSG00000234101	ENST00000421766	
ENSG00000232984	ENST00000421808	
ENSG00000139626	ENST00000422257	ENSLAFP00000007709
ENSG00000228163	ENST00000422504	
ENSG00000232632	ENST00000423604	
ENSG00000196184	ENST00000423932	ENSLAFP00000016188
ENSG00000231268	ENST00000424145	
ENSG00000237112	ENST00000425097	
ENSG00000073008	ENST00000425690	ENSLAFP00000008923
ENSG00000223532	ENST00000425848	
ENSG00000077782	ENST00000425967	ENSLAFP00000015289
ENSG00000231558	ENST00000426070	
ENSG00000235249	ENST00000426406	ENSLAFP00000027830
ENSG00000243612	ENST00000426644	
ENSG00000232957	ENST00000426685	
ENSG00000230060	ENST00000426729	
ENSG00000230463	ENST00000426847	
ENSG00000230456	ENST00000427053	
ENSG00000230780	ENST00000427264	
ENSG00000234746	ENST00000427744	
ENSG00000230254	ENST00000427936	
ENSG00000226271	ENST00000428081	
ENSG00000235220	ENST00000428296	
ENSG00000231003	ENST00000428302	
ENSG00000204632	ENST00000428701	
ENSG00000026508	ENST00000428726	ENSLAFP00000014823
ENSG00000235680	ENST00000429890	
ENSG00000096996	ENST00000430026	ENSLAFP00000002989
ENSG00000224487	ENST00000430148	
ENSG00000233636	ENST00000430478	
ENSG00000180720	ENST00000433765	ENSLAFP00000027437
ENSG00000228813	ENST00000433801	
ENSG00000232962	ENST00000434335	
ENSG00000225291	ENST00000434778	
ENSG00000112038	ENST00000434900	ENSLAFP00000002175
ENSG00000233095	ENST00000434907	
ENSG00000189143	ENST00000435050	ENSLAFP00000013097
ENSG00000147145	ENST00000435339	ENSLAFP00000016452
ENSG00000135218	ENST00000435819	ENSLAFP00000009279
ENSG00000237103	ENST00000436623	
ENSG00000174130	ENST00000436693	ENSLAFP00000028630
ENSG00000227191	ENST00000436911	
ENSG00000236032	ENST00000437310	
ENSG00000224234	ENST00000437403	
ENSG00000229074	ENST00000437784	
ENSG00000237022	ENST00000438171	
ENSG00000196639	ENST00000438284	ENSLAFP00000025558
ENSG00000235966	ENST00000438569	
ENSG00000172215	ENST00000438735	ENSLAFP00000016832
ENSG00000241106	ENST00000438763	ENSLAFP00000003382
ENSG00000230141	ENST00000438987	
ENSG00000180739	ENST00000439028	ENSLAFP00000020049
ENSG00000228652	ENST00000439723	
ENSG00000229185	ENST00000439874	
ENSG00000225550	ENST00000440124	
ENSG00000232289	ENST00000440485	
ENSG00000229125	ENST00000440557	
ENSG00000235132	ENST00000440672	
ENSG00000171517	ENST00000440886	ENSLAFP00000017600
ENSG00000234729	ENST00000441180	
ENSG00000236979	ENST00000441372	
ENSG00000233046	ENST00000441440	
ENSG00000172935	ENST00000441623	ENSLAFP00000006491
ENSG00000237405	ENST00000441804	
ENSG00000228254	ENST00000442043	
ENSG00000170915	ENST00000442253	ENSLAFP00000007789
ENSG00000081237	ENST00000442510	ENSLAFP00000001762
ENSG00000187323	ENST00000442544	ENSLAFP00000001655
ENSG00000144648	ENST00000442925	ENSLAFP00000023775
ENSG00000226260	ENST00000442960	
ENSG00000235844	ENST00000443117	
ENSG00000204276	ENST00000443184	
ENSG00000196083	ENST00000443369	ENSLAFP00000015951
ENSG00000243441	ENST00000444009	
ENSG00000206474	ENST00000444197	ENSLAFP00000022618
ENSG00000229215	ENST00000444289	
ENSG00000232062	ENST00000444296	
ENSG00000237459	ENST00000444404	
ENSG00000236884	ENST00000444645	
ENSG00000233180	ENST00000444830	
ENSG00000237508	ENST00000445657	
ENSG00000181072	ENST00000445907	ENSLAFP00000025252
ENSG00000152034	ENST00000445970	ENSLAFP00000006919
ENSG00000229408	ENST00000446161	
ENSG00000091181	ENST00000446632	ENSLAFP00000009729
ENSG00000229328	ENST00000446776	
ENSG00000241386	ENST00000447178	
ENSG00000164509	ENST00000447346	ENSLAFP00000014309
ENSG00000223793	ENST00000447735	
ENSG00000187037	ENST00000447769	ENSLAFP00000008711
ENSG00000230514	ENST00000448768	
ENSG00000228515	ENST00000449044	
ENSG00000233192	ENST00000449560	
ENSG00000160801	ENST00000449590	ENSLAFP00000011015
ENSG00000232268	ENST00000450052	ENSLAFP00000016099
ENSG00000187764	ENST00000450295	ENSLAFP00000010878
ENSG00000233687	ENST00000450817	
ENSG00000237284	ENST00000451019	
ENSG00000224393	ENST00000451549	
ENSG00000223833	ENST00000452296	
ENSG00000232569	ENST00000452300	
ENSG00000069122	ENST00000452370	ENSLAFP00000007805
ENSG00000235744	ENST00000452598	
ENSG00000230413	ENST00000452715	
ENSG00000182168	ENST00000453304	ENSLAFP00000009004
ENSG00000175344	ENST00000454250	ENSLAFP00000007506
ENSG00000243496	ENST00000454286	
ENSG00000229685	ENST00000454805	
ENSG00000146276	ENST00000454853	ENSLAFP00000005011
ENSG00000241910	ENST00000454969	
ENSG00000126251	ENST00000454971	ENSLAFP00000028475
ENSG00000230505	ENST00000455234	
ENSG00000188393	ENST00000455827	
ENSG00000145888	ENST00000455880	ENSLAFP00000016862
ENSG00000225736	ENST00000456140	
ENSG00000239457	ENST00000456406	
ENSG00000237521	ENST00000456448	ENSLAFP00000029390
ENSG00000230178	ENST00000456475	ENSLAFP00000027830
ENSG00000235346	ENST00000457132	
ENSG00000232397	ENST00000457403	
ENSG00000066468	ENST00000457416	ENSLAFP00000029245
ENSG00000236315	ENST00000457547	
ENSG00000169760	ENST00000457714	ENSLAFP00000008516
ENSG00000226347	ENST00000457762	
ENSG00000185825	ENST00000458587	ENSLAFP00000025780
ENSG00000151577	ENST00000460779	ENSLAFP00000002066
ENSG00000175697	ENST00000464295	ENSLAFP00000011411
ENSG00000101850	ENST00000467482	ENSLAFP00000015185
ENSG00000106113	ENST00000471646	ENSLAFP00000002088
ENSG00000144724	ENST00000474889	ENSLAFP00000013231
ENSG00000179921	ENST00000479077	ENSLAFP00000024969
ENSG00000112195	ENST00000483722	ENSLAFP00000006630
ENSG00000185008	ENST00000487694	ENSLAFP00000003016
ENSG00000243896	ENST00000493325	
ENSG00000147155	ENST00000495186	ENSLAFP00000004558
ENSG00000144891	ENST00000497524	ENSLAFP00000018338
ENSG00000036828	ENST00000498619	ENSLAFP00000018459
ENSG00000163956	ENST00000500728	ENSLAFP00000001390
ENSG00000164604	ENST00000501255	ENSLAFP00000019488
ENSG00000242022	ENST00000505384	
ENSG00000151834	ENST00000510861	ENSLAFP00000002410
ENSG00000069018	ENST00000513104	ENSLAFP00000003621
ENSG00000150471	ENST00000514591	ENSLAFP00000008258
ENSG00000138696	ENST00000515059	ENSLAFP00000008997
ENSG00000236177	ENST00000515317	
ENSG00000173402	ENST00000515359	ENSLAFP00000009234
ENSG00000094755	ENST00000518525	ENSLAFP00000014097
ENSG00000174417	ENST00000518632	ENSLAFP00000005776
ENSG00000164930	ENST00000522566	ENSLAFP00000002792
ENSG00000149403	ENST00000527524	ENSLAFP00000014474
ENSG00000156097	ENST00000527748	ENSLAFP00000007150
ENSG00000255223	ENST00000528616	ENSLAFP00000028944
ENSG00000185803	ENST00000530047	ENSLAFP00000028187
ENSG00000254466	ENST00000530162	
ENSG00000255307	ENST00000530810	ENSLAFP00000027972
ENSG00000174804	ENST00000531380	ENSLAFP00000026125
ENSG00000119714	ENST00000531499	ENSLAFP00000012325
ENSG00000160654	ENST00000532917	ENSLAFP00000009443
ENSG00000213906	ENST00000533293	ENSLAFP00000020931
ENSG00000226761	ENST00000533467	
ENSG00000256797	ENST00000535540	
ENSG00000137872	ENST00000536845	ENSLAFP00000005211
ENSG00000238243	ENST00000537741	ENSLAFP00000012437
ENSG00000104290	ENST00000537916	ENSLAFP00000009894
ENSG00000198753	ENST00000538966	ENSLAFP00000024303
ENSG00000171631	ENST00000540342	ENSLAFP00000025483
ENSG00000255804	ENST00000540461	ENSLAFP00000024413
ENSG00000183150	ENST00000540510	ENSLAFP00000017729
ENSG00000187554	ENST00000540964	
ENSG00000165409	ENST00000541158	ENSLAFP00000000922
ENSG00000135503	ENST00000541224	ENSLAFP00000026010
ENSG00000128271	ENST00000541988	ENSLAFP00000010120
ENSG00000255582	ENST00000542433	ENSLAFP00000023118
ENSG00000105281	ENST00000542575	ENSLAFP00000027146
ENSG00000078589	ENST00000544091	ENSLAFP00000015862
ENSG00000144230	ENST00000544369	ENSLAFP00000023201
ENSG00000169896	ENST00000544665	ENSLAFP00000011504
ENSG00000183625	ENST00000545097	ENSLAFP00000012238
ENSG00000255713	ENST00000545221	ENSLAFP00000027584
ENSG00000101292	ENST00000546004	ENSLAFP00000005390
ENSG00000089041	ENST00000546057	ENSLAFP00000017061
ENSG00000258227	ENST00000546910	ENSLAFP00000015422
ENSG00000257115	ENST00000550708	ENSLAFP00000025471
ENSG00000257793	ENST00000552724	
ENSG00000257473	ENST00000552745	
ENSG00000256574	ENST00000553795	ENSLAFP00000004003
ENSG00000168398	ENST00000554311	ENSLAFP00000022264
ENSG00000021645	ENST00000554719	
ENSG00000137070	ENST00000555003	ENSLAFP00000009796
ENSG00000258817	ENST00000555099	
ENSG00000258839	ENST00000555147	
