ENSG00000003056	ENST00000000412	ENSMODP00000022437
ENSG00000174130	ENST00000436693	ENSMODP00000025687
ENSG00000227191	ENST00000436911	
ENSG00000236032	ENST00000437310	ENSMODP00000021282
ENSG00000224234	ENST00000437403	
ENSG00000229074	ENST00000437784	
ENSG00000237022	ENST00000438171	
ENSG00000196639	ENST00000438284	
ENSG00000235966	ENST00000438569	
ENSG00000172215	ENST00000438735	ENSMODP00000032629
ENSG00000241106	ENST00000438763	ENSMODP00000038507
ENSG00000230141	ENST00000438987	
ENSG00000180739	ENST00000439028	ENSMODP00000007134
ENSG00000228652	ENST00000439723	
ENSG00000229185	ENST00000439874	
ENSG00000225550	ENST00000440124	
ENSG00000232289	ENST00000440485	
ENSG00000229125	ENST00000440557	
ENSG00000235132	ENST00000440672	
ENSG00000171517	ENST00000440886	ENSMODP00000000481
ENSG00000234729	ENST00000441180	
ENSG00000236979	ENST00000441372	
ENSG00000233046	ENST00000441440	
ENSG00000172935	ENST00000441623	ENSMODP00000004985
ENSG00000237405	ENST00000441804	
ENSG00000228254	ENST00000442043	
ENSG00000170915	ENST00000442253	ENSMODP00000030221
ENSG00000081237	ENST00000442510	ENSMODP00000036040
ENSG00000187323	ENST00000442544	ENSMODP00000013810
ENSG00000144648	ENST00000442925	
ENSG00000226260	ENST00000442960	
ENSG00000235844	ENST00000443117	
ENSG00000204276	ENST00000443184	
ENSG00000196083	ENST00000443369	ENSMODP00000018871
ENSG00000243441	ENST00000444009	
ENSG00000206474	ENST00000444197	ENSMODP00000020047
ENSG00000229215	ENST00000444289	
ENSG00000232062	ENST00000444296	
ENSG00000237459	ENST00000444404	
ENSG00000236884	ENST00000444645	
ENSG00000233180	ENST00000444830	
ENSG00000237508	ENST00000445657	
ENSG00000181072	ENST00000445907	ENSMODP00000034137
ENSG00000152034	ENST00000445970	ENSMODP00000022551
ENSG00000229408	ENST00000446161	
ENSG00000237388	ENST00000446524	ENSMODP00000033965
ENSG00000091181	ENST00000446632	ENSMODP00000005359
ENSG00000229328	ENST00000446776	
ENSG00000241386	ENST00000447178	
ENSG00000164509	ENST00000447346	ENSMODP00000024346
ENSG00000223793	ENST00000447735	
ENSG00000187037	ENST00000447769	ENSMODP00000027576
ENSG00000230514	ENST00000448768	
ENSG00000228515	ENST00000449044	
ENSG00000233192	ENST00000449560	
ENSG00000160801	ENST00000449590	ENSMODP00000017460
ENSG00000187764	ENST00000450295	ENSMODP00000016693
ENSG00000233687	ENST00000450817	
ENSG00000237284	ENST00000451019	
ENSG00000224393	ENST00000451549	
ENSG00000223833	ENST00000452296	
ENSG00000232569	ENST00000452300	
ENSG00000069122	ENST00000452370	ENSMODP00000023558
ENSG00000235744	ENST00000452598	
ENSG00000230413	ENST00000452715	
ENSG00000182168	ENST00000453304	ENSMODP00000024041
ENSG00000175344	ENST00000454250	ENSMODP00000011117
ENSG00000243496	ENST00000454286	
ENSG00000229685	ENST00000454805	
ENSG00000146276	ENST00000454853	ENSMODP00000022794
ENSG00000241910	ENST00000454969	
ENSG00000126251	ENST00000454971	ENSMODP00000031581
ENSG00000230505	ENST00000455234	
ENSG00000188393	ENST00000455827	
ENSG00000145888	ENST00000455880	ENSMODP00000011170
ENSG00000225736	ENST00000456140	
ENSG00000239457	ENST00000456406	
ENSG00000237521	ENST00000456448	
ENSG00000230178	ENST00000456475	ENSMODP00000009876
ENSG00000228198	ENST00000456743	ENSMODP00000004779
ENSG00000235346	ENST00000457132	
ENSG00000232397	ENST00000457403	
ENSG00000066468	ENST00000457416	ENSMODP00000010602
ENSG00000236315	ENST00000457547	
ENSG00000169760	ENST00000457714	ENSMODP00000026644
ENSG00000226347	ENST00000457762	
ENSG00000151577	ENST00000460779	ENSMODP00000022661
ENSG00000175697	ENST00000464295	ENSMODP00000022719
ENSG00000101850	ENST00000467482	ENSMODP00000021779
ENSG00000106113	ENST00000471646	ENSMODP00000026451
ENSG00000144724	ENST00000474889	ENSMODP00000003309
ENSG00000179921	ENST00000479077	ENSMODP00000019332
ENSG00000112195	ENST00000483722	
ENSG00000185008	ENST00000487694	ENSMODP00000020991
ENSG00000243896	ENST00000493325	
ENSG00000147155	ENST00000495186	ENSMODP00000012840
ENSG00000144891	ENST00000497524	ENSMODP00000035452
ENSG00000036828	ENST00000498619	ENSMODP00000022810
ENSG00000163956	ENST00000500728	ENSMODP00000004235
ENSG00000164604	ENST00000501255	ENSMODP00000034569
ENSG00000242022	ENST00000505384	
ENSG00000151834	ENST00000510861	ENSMODP00000025764
ENSG00000069018	ENST00000513104	ENSMODP00000018922
ENSG00000150471	ENST00000514591	ENSMODP00000025921
ENSG00000138696	ENST00000515059	ENSMODP00000024044
ENSG00000236177	ENST00000515317	
ENSG00000173402	ENST00000515359	ENSMODP00000016221
ENSG00000094755	ENST00000518525	ENSMODP00000008379
ENSG00000174417	ENST00000518632	ENSMODP00000006073
ENSG00000164930	ENST00000522566	ENSMODP00000006959
ENSG00000149403	ENST00000527524	ENSMODP00000016371
ENSG00000156097	ENST00000527748	ENSMODP00000029071
ENSG00000185803	ENST00000530047	ENSMODP00000013417
ENSG00000174804	ENST00000531380	ENSMODP00000005048
ENSG00000119714	ENST00000531499	
ENSG00000196248	ENST00000531945	ENSMODP00000034581
ENSG00000160654	ENST00000532917	ENSMODP00000016890
ENSG00000213906	ENST00000533293	ENSMODP00000003701
ENSG00000226761	ENST00000533467	
ENSG00000256797	ENST00000535540	
ENSG00000137872	ENST00000536845	ENSMODP00000003451
ENSG00000238243	ENST00000537741	ENSMODP00000011124
ENSG00000104290	ENST00000537916	ENSMODP00000010833
ENSG00000198753	ENST00000538966	ENSMODP00000027548
ENSG00000171631	ENST00000540342	ENSMODP00000032578
ENSG00000183150	ENST00000540510	
ENSG00000187554	ENST00000540964	ENSMODP00000035249
ENSG00000165409	ENST00000541158	ENSMODP00000004617
ENSG00000135503	ENST00000541224	
ENSG00000128271	ENST00000541988	ENSMODP00000004893
ENSG00000105281	ENST00000542575	ENSMODP00000031291
ENSG00000078589	ENST00000544091	ENSMODP00000027594
ENSG00000144230	ENST00000544369	ENSMODP00000036378
ENSG00000183625	ENST00000545097	ENSMODP00000032621
ENSG00000101292	ENST00000546004	ENSMODP00000004525
ENSG00000089041	ENST00000546057	
ENSG00000258227	ENST00000546910	ENSMODP00000000010
ENSG00000257115	ENST00000550708	
ENSG00000257793	ENST00000552724	
ENSG00000257473	ENST00000552745	
ENSG00000256574	ENST00000553795	ENSMODP00000037560
ENSG00000168398	ENST00000554311	ENSMODP00000015930
ENSG00000021645	ENST00000554719	
ENSG00000137070	ENST00000555003	ENSMODP00000009813
ENSG00000258839	ENST00000555147	
