ENSG00000003056	ENST00000000412	ENSMEUP00000000106
ENSG00000230141	ENST00000438987	
ENSG00000180739	ENST00000439028	
ENSG00000228652	ENST00000439723	
ENSG00000229185	ENST00000439874	
ENSG00000225550	ENST00000440124	
ENSG00000232289	ENST00000440485	
ENSG00000229125	ENST00000440557	
ENSG00000235132	ENST00000440672	
ENSG00000171517	ENST00000440886	ENSMEUP00000004060
ENSG00000234729	ENST00000441180	
ENSG00000236979	ENST00000441372	
ENSG00000233046	ENST00000441440	
ENSG00000172935	ENST00000441623	ENSMEUP00000003164
ENSG00000237405	ENST00000441804	
ENSG00000228254	ENST00000442043	
ENSG00000170915	ENST00000442253	ENSMEUP00000013705
ENSG00000081237	ENST00000442510	ENSMEUP00000008156
ENSG00000187323	ENST00000442544	ENSMEUP00000003216
ENSG00000144648	ENST00000442925	
ENSG00000226260	ENST00000442960	
ENSG00000235844	ENST00000443117	
ENSG00000204276	ENST00000443184	
ENSG00000196083	ENST00000443369	ENSMEUP00000014835
ENSG00000243441	ENST00000444009	
ENSG00000206474	ENST00000444197	
ENSG00000229215	ENST00000444289	
ENSG00000232062	ENST00000444296	
ENSG00000237459	ENST00000444404	
ENSG00000236884	ENST00000444645	
ENSG00000233180	ENST00000444830	
ENSG00000237508	ENST00000445657	
ENSG00000181072	ENST00000445907	ENSMEUP00000004741
ENSG00000152034	ENST00000445970	ENSMEUP00000010894
ENSG00000229408	ENST00000446161	
ENSG00000237388	ENST00000446524	
ENSG00000091181	ENST00000446632	ENSMEUP00000007915
ENSG00000229328	ENST00000446776	
ENSG00000241386	ENST00000447178	
ENSG00000164509	ENST00000447346	ENSMEUP00000001459
ENSG00000223793	ENST00000447735	
ENSG00000187037	ENST00000447769	
ENSG00000230514	ENST00000448768	
ENSG00000228515	ENST00000449044	
ENSG00000233192	ENST00000449560	
ENSG00000160801	ENST00000449590	ENSMEUP00000003320
ENSG00000187764	ENST00000450295	ENSMEUP00000004655
ENSG00000233687	ENST00000450817	
ENSG00000237284	ENST00000451019	
ENSG00000224393	ENST00000451549	
ENSG00000223833	ENST00000452296	
ENSG00000232569	ENST00000452300	
ENSG00000069122	ENST00000452370	ENSMEUP00000002889
ENSG00000235744	ENST00000452598	
ENSG00000230413	ENST00000452715	
ENSG00000182168	ENST00000453304	ENSMEUP00000004755
ENSG00000175344	ENST00000454250	ENSMEUP00000008968
ENSG00000243496	ENST00000454286	
ENSG00000229685	ENST00000454805	
ENSG00000146276	ENST00000454853	ENSMEUP00000009704
ENSG00000241910	ENST00000454969	
ENSG00000126251	ENST00000454971	ENSMEUP00000012555
ENSG00000230505	ENST00000455234	
ENSG00000188393	ENST00000455827	
ENSG00000145888	ENST00000455880	ENSMEUP00000008242
ENSG00000225736	ENST00000456140	
ENSG00000239457	ENST00000456406	
ENSG00000237521	ENST00000456448	
ENSG00000228198	ENST00000456743	
ENSG00000235346	ENST00000457132	
ENSG00000232397	ENST00000457403	
ENSG00000066468	ENST00000457416	ENSMEUP00000005969
ENSG00000236315	ENST00000457547	
ENSG00000169760	ENST00000457714	ENSMEUP00000011318
ENSG00000226347	ENST00000457762	
ENSG00000185825	ENST00000458587	ENSMEUP00000006703
ENSG00000151577	ENST00000460779	ENSMEUP00000006072
ENSG00000175697	ENST00000464295	ENSMEUP00000008378
ENSG00000101850	ENST00000467482	ENSMEUP00000000316
ENSG00000106113	ENST00000471646	ENSMEUP00000006644
ENSG00000144724	ENST00000474889	ENSMEUP00000011044
ENSG00000179921	ENST00000479077	
ENSG00000112195	ENST00000483722	
ENSG00000185008	ENST00000487694	ENSMEUP00000008871
ENSG00000243896	ENST00000493325	ENSMEUP00000002076
ENSG00000147155	ENST00000495186	ENSMEUP00000002623
ENSG00000144891	ENST00000497524	
ENSG00000036828	ENST00000498619	ENSMEUP00000013310
ENSG00000163956	ENST00000500728	ENSMEUP00000004988
ENSG00000164604	ENST00000501255	
ENSG00000242022	ENST00000505384	
ENSG00000151834	ENST00000510861	ENSMEUP00000008888
ENSG00000069018	ENST00000513104	ENSMEUP00000011929
ENSG00000150471	ENST00000514591	ENSMEUP00000005990
ENSG00000138696	ENST00000515059	ENSMEUP00000002033
ENSG00000236177	ENST00000515317	
ENSG00000173402	ENST00000515359	ENSMEUP00000000989
ENSG00000094755	ENST00000518525	
ENSG00000174417	ENST00000518632	ENSMEUP00000004050
ENSG00000164930	ENST00000522566	ENSMEUP00000014123
ENSG00000255012	ENST00000526538	
ENSG00000254834	ENST00000526812	
ENSG00000149403	ENST00000527524	ENSMEUP00000013851
ENSG00000156097	ENST00000527748	ENSMEUP00000008291
ENSG00000255223	ENST00000528616	
ENSG00000185803	ENST00000530047	ENSMEUP00000009067
ENSG00000255307	ENST00000530810	
ENSG00000174804	ENST00000531380	ENSMEUP00000001779
ENSG00000119714	ENST00000531499	ENSMEUP00000009916
ENSG00000196248	ENST00000531945	ENSMEUP00000004928
ENSG00000160654	ENST00000532917	ENSMEUP00000007761
ENSG00000213906	ENST00000533293	
ENSG00000226761	ENST00000533467	
ENSG00000256797	ENST00000535540	
ENSG00000137872	ENST00000536845	ENSMEUP00000007546
ENSG00000238243	ENST00000537741	ENSMEUP00000011987
ENSG00000104290	ENST00000537916	ENSMEUP00000005505
ENSG00000183269	ENST00000537935	ENSMEUP00000012707
ENSG00000198753	ENST00000538966	ENSMEUP00000005662
ENSG00000171631	ENST00000540342	
ENSG00000255804	ENST00000540461	
ENSG00000183150	ENST00000540510	ENSMEUP00000005021
ENSG00000187554	ENST00000540964	ENSMEUP00000003163
ENSG00000165409	ENST00000541158	ENSMEUP00000007939
ENSG00000135503	ENST00000541224	ENSMEUP00000013985
ENSG00000128271	ENST00000541988	ENSMEUP00000011106
ENSG00000255582	ENST00000542433	ENSMEUP00000012187
ENSG00000105281	ENST00000542575	ENSMEUP00000015180
ENSG00000078589	ENST00000544091	
ENSG00000144230	ENST00000544369	ENSMEUP00000006889
ENSG00000169896	ENST00000544665	ENSMEUP00000010470
ENSG00000183625	ENST00000545097	ENSMEUP00000012240
ENSG00000101292	ENST00000546004	ENSMEUP00000013516
ENSG00000089041	ENST00000546057	ENSMEUP00000006723
ENSG00000258227	ENST00000546910	
ENSG00000258083	ENST00000548136	
ENSG00000257115	ENST00000550708	
ENSG00000257793	ENST00000552724	
ENSG00000257473	ENST00000552745	
ENSG00000256574	ENST00000553795	ENSMEUP00000003170
ENSG00000168398	ENST00000554311	
ENSG00000021645	ENST00000554719	
ENSG00000137070	ENST00000555003	ENSMEUP00000004897
ENSG00000258817	ENST00000555099	
ENSG00000258839	ENST00000555147	
