ENSG00000003056	ENST00000000412	ENSETEP00000016145
ENSG00000229866	ENST00000419260	
ENSG00000231389	ENST00000419277	
ENSG00000228080	ENST00000419393	
ENSG00000229493	ENST00000419519	
ENSG00000232945	ENST00000419605	
ENSG00000231319	ENST00000419873	
ENSG00000228377	ENST00000420035	
ENSG00000233054	ENST00000420178	
ENSG00000228299	ENST00000420206	
ENSG00000228977	ENST00000420540	
ENSG00000226463	ENST00000421027	
ENSG00000234078	ENST00000421229	
ENSG00000164418	ENST00000421544	ENSETEP00000000563
ENSG00000237258	ENST00000421634	
ENSG00000234101	ENST00000421766	
ENSG00000232984	ENST00000421808	
ENSG00000139626	ENST00000422257	ENSETEP00000001224
ENSG00000228163	ENST00000422504	
ENSG00000232632	ENST00000423604	
ENSG00000196184	ENST00000423932	ENSETEP00000003357
ENSG00000231268	ENST00000424145	
ENSG00000237112	ENST00000425097	
ENSG00000073008	ENST00000425690	ENSETEP00000008878
ENSG00000223532	ENST00000425848	
ENSG00000077782	ENST00000425967	ENSETEP00000007768
ENSG00000231558	ENST00000426070	
ENSG00000235249	ENST00000426406	
ENSG00000243612	ENST00000426644	
ENSG00000232957	ENST00000426685	
ENSG00000230060	ENST00000426729	
ENSG00000230463	ENST00000426847	
ENSG00000230456	ENST00000427053	
ENSG00000230780	ENST00000427264	
ENSG00000231861	ENST00000427338	
ENSG00000234746	ENST00000427744	
ENSG00000230254	ENST00000427936	
ENSG00000226271	ENST00000428081	
ENSG00000235220	ENST00000428296	
ENSG00000231003	ENST00000428302	
ENSG00000026508	ENST00000428726	ENSETEP00000011940
ENSG00000170929	ENST00000429566	ENSETEP00000010934
ENSG00000235680	ENST00000429890	
ENSG00000096996	ENST00000430026	ENSETEP00000004511
ENSG00000224487	ENST00000430148	
ENSG00000233636	ENST00000430478	
ENSG00000234560	ENST00000431524	
ENSG00000180720	ENST00000433765	
ENSG00000228813	ENST00000433801	
ENSG00000232962	ENST00000434335	
ENSG00000225291	ENST00000434778	
ENSG00000112038	ENST00000434900	ENSETEP00000010749
ENSG00000233095	ENST00000434907	
ENSG00000189143	ENST00000435050	ENSETEP00000000420
ENSG00000147145	ENST00000435339	
ENSG00000135218	ENST00000435819	ENSETEP00000008849
ENSG00000237103	ENST00000436623	
ENSG00000174130	ENST00000436693	
ENSG00000227191	ENST00000436911	
ENSG00000236032	ENST00000437310	
ENSG00000224234	ENST00000437403	
ENSG00000229074	ENST00000437784	
ENSG00000237022	ENST00000438171	
ENSG00000196639	ENST00000438284	ENSETEP00000016411
ENSG00000235966	ENST00000438569	
ENSG00000172215	ENST00000438735	ENSETEP00000013430
ENSG00000241106	ENST00000438763	ENSETEP00000010807
ENSG00000230141	ENST00000438987	
ENSG00000180739	ENST00000439028	
ENSG00000228652	ENST00000439723	
ENSG00000229185	ENST00000439874	
ENSG00000225550	ENST00000440124	
ENSG00000232289	ENST00000440485	
ENSG00000229125	ENST00000440557	
ENSG00000235132	ENST00000440672	
ENSG00000171517	ENST00000440886	ENSETEP00000002519
ENSG00000234729	ENST00000441180	
ENSG00000236979	ENST00000441372	
ENSG00000233046	ENST00000441440	
ENSG00000172935	ENST00000441623	ENSETEP00000001358
ENSG00000237405	ENST00000441804	
ENSG00000228254	ENST00000442043	
ENSG00000170915	ENST00000442253	ENSETEP00000007059
ENSG00000081237	ENST00000442510	ENSETEP00000008186
ENSG00000187323	ENST00000442544	ENSETEP00000010715
ENSG00000144648	ENST00000442925	
ENSG00000226260	ENST00000442960	
ENSG00000235844	ENST00000443117	
ENSG00000204276	ENST00000443184	
ENSG00000196083	ENST00000443369	ENSETEP00000001419
ENSG00000243441	ENST00000444009	
ENSG00000206474	ENST00000444197	ENSETEP00000004863
ENSG00000229215	ENST00000444289	
ENSG00000232062	ENST00000444296	
ENSG00000237459	ENST00000444404	
ENSG00000236884	ENST00000444645	
ENSG00000233180	ENST00000444830	
ENSG00000237508	ENST00000445657	
ENSG00000181072	ENST00000445907	ENSETEP00000011533
ENSG00000152034	ENST00000445970	ENSETEP00000011301
ENSG00000229408	ENST00000446161	
ENSG00000237388	ENST00000446524	
ENSG00000091181	ENST00000446632	ENSETEP00000009466
ENSG00000229328	ENST00000446776	
ENSG00000241386	ENST00000447178	
ENSG00000164509	ENST00000447346	ENSETEP00000013712
ENSG00000223793	ENST00000447735	
ENSG00000187037	ENST00000447769	ENSETEP00000015335
ENSG00000230514	ENST00000448768	
ENSG00000228515	ENST00000449044	
ENSG00000233192	ENST00000449560	
ENSG00000160801	ENST00000449590	
ENSG00000232268	ENST00000450052	
ENSG00000187764	ENST00000450295	ENSETEP00000004132
ENSG00000233687	ENST00000450817	
ENSG00000237284	ENST00000451019	
ENSG00000224393	ENST00000451549	
ENSG00000223833	ENST00000452296	
ENSG00000232569	ENST00000452300	
ENSG00000069122	ENST00000452370	ENSETEP00000000834
ENSG00000235744	ENST00000452598	
ENSG00000230413	ENST00000452715	
ENSG00000182168	ENST00000453304	ENSETEP00000004060
ENSG00000175344	ENST00000454250	ENSETEP00000012540
ENSG00000243496	ENST00000454286	
ENSG00000229685	ENST00000454805	
ENSG00000146276	ENST00000454853	ENSETEP00000001207
ENSG00000241910	ENST00000454969	
ENSG00000126251	ENST00000454971	
ENSG00000230505	ENST00000455234	
ENSG00000188393	ENST00000455827	
ENSG00000145888	ENST00000455880	ENSETEP00000014169
ENSG00000225736	ENST00000456140	
ENSG00000239457	ENST00000456406	
ENSG00000237521	ENST00000456448	
ENSG00000230178	ENST00000456475	
ENSG00000228198	ENST00000456743	
ENSG00000235346	ENST00000457132	
ENSG00000232397	ENST00000457403	
ENSG00000066468	ENST00000457416	ENSETEP00000008959
ENSG00000236315	ENST00000457547	
ENSG00000169760	ENST00000457714	ENSETEP00000006507
ENSG00000226347	ENST00000457762	
ENSG00000185825	ENST00000458587	ENSETEP00000007036
ENSG00000151577	ENST00000460779	ENSETEP00000015673
ENSG00000175697	ENST00000464295	ENSETEP00000007645
ENSG00000101850	ENST00000467482	
ENSG00000106113	ENST00000471646	ENSETEP00000002266
ENSG00000144724	ENST00000474889	ENSETEP00000011296
ENSG00000179921	ENST00000479077	
ENSG00000112195	ENST00000483722	ENSETEP00000009018
ENSG00000185008	ENST00000487694	ENSETEP00000000759
ENSG00000243896	ENST00000493325	
ENSG00000147155	ENST00000495186	ENSETEP00000010724
ENSG00000144891	ENST00000497524	
ENSG00000036828	ENST00000498619	ENSETEP00000011160
ENSG00000163956	ENST00000500728	
ENSG00000164604	ENST00000501255	
ENSG00000242022	ENST00000505384	
ENSG00000151834	ENST00000510861	ENSETEP00000015440
ENSG00000069018	ENST00000513104	ENSETEP00000016177
ENSG00000150471	ENST00000514591	ENSETEP00000010596
ENSG00000138696	ENST00000515059	ENSETEP00000014993
ENSG00000236177	ENST00000515317	
ENSG00000173402	ENST00000515359	ENSETEP00000014771
ENSG00000094755	ENST00000518525	ENSETEP00000001880
ENSG00000174417	ENST00000518632	ENSETEP00000012428
ENSG00000164930	ENST00000522566	ENSETEP00000010973
ENSG00000255012	ENST00000526538	
ENSG00000254834	ENST00000526812	
ENSG00000149403	ENST00000527524	ENSETEP00000003250
ENSG00000156097	ENST00000527748	ENSETEP00000016101
ENSG00000255223	ENST00000528616	
ENSG00000185803	ENST00000530047	
ENSG00000254466	ENST00000530162	
ENSG00000255307	ENST00000530810	
ENSG00000174804	ENST00000531380	ENSETEP00000007598
ENSG00000119714	ENST00000531499	ENSETEP00000015368
ENSG00000196248	ENST00000531945	ENSETEP00000001242
ENSG00000160654	ENST00000532917	ENSETEP00000000890
ENSG00000213906	ENST00000533293	
ENSG00000226761	ENST00000533467	
ENSG00000256797	ENST00000535540	
ENSG00000137872	ENST00000536845	ENSETEP00000006119
ENSG00000238243	ENST00000537741	
ENSG00000104290	ENST00000537916	ENSETEP00000014710
ENSG00000198753	ENST00000538966	ENSETEP00000003891
ENSG00000171631	ENST00000540342	
ENSG00000255804	ENST00000540461	
ENSG00000183150	ENST00000540510	ENSETEP00000006925
ENSG00000187554	ENST00000540964	ENSETEP00000010870
ENSG00000165409	ENST00000541158	ENSETEP00000004984
ENSG00000135503	ENST00000541224	ENSETEP00000001753
ENSG00000128271	ENST00000541988	
ENSG00000257019	ENST00000542196	ENSETEP00000011194
ENSG00000255582	ENST00000542433	
ENSG00000105281	ENST00000542575	ENSETEP00000016011
ENSG00000078589	ENST00000544091	ENSETEP00000012562
ENSG00000144230	ENST00000544369	
ENSG00000169896	ENST00000544665	ENSETEP00000010028
ENSG00000183625	ENST00000545097	
ENSG00000255713	ENST00000545221	ENSETEP00000015756
ENSG00000101292	ENST00000546004	
ENSG00000089041	ENST00000546057	ENSETEP00000002729
ENSG00000258227	ENST00000546910	ENSETEP00000016368
ENSG00000258083	ENST00000548136	ENSETEP00000002960
ENSG00000257115	ENST00000550708	ENSETEP00000007153
ENSG00000257793	ENST00000552724	
ENSG00000257473	ENST00000552745	
ENSG00000256574	ENST00000553795	ENSETEP00000015189
ENSG00000168398	ENST00000554311	
ENSG00000021645	ENST00000554719	
ENSG00000137070	ENST00000555003	ENSETEP00000001682
ENSG00000258817	ENST00000555099	
ENSG00000258839	ENST00000555147	
